x	y	z
0.382138359	0.753906277	42.3
0.382138323	0.753906379	42.7
0.382138517	0.753906108	42.3
0.382138701	0.753905844	42.7
0.382139315	0.75390555	43.6
0.382139509	0.753905692	45.3
0.382139394	0.75390504	47.2
0.382139506	0.753904371	50.2
0.382139607	0.753903739	53.5
0.382139494	0.75390321	57.1
0.382139518	0.753902199	60.4
0.382139725	0.753902089	60.7
0.382139341	0.753902489	61
0.3821379	0.753902546	61
0.382136016	0.753902012	61.4
0.382134887	0.753902308	61.4
0.382133708	0.753902619	61.4
0.38213278	0.753902872	61.4
0.382130862	0.753901233	61
0.382130522	0.753900712	61
0.382130535	0.753901278	60.7
0.382130292	0.753901642	60.7
0.382130248	0.753900985	61
0.382128844	0.753897838	60.7
0.382126805	0.753891828	60.7
0.382123703	0.753884059	60.7
0.382119862	0.753874498	60.7
0.38211507	0.753863985	60.7
0.382109226	0.753852691	61
0.382102797	0.753840072	61
0.382099168	0.75383312	61
0.382097387	0.753835039	60.4
0.382095551	0.753835356	60.7
0.382094507	0.753835057	60.7
0.382094956	0.753835287	60.7
0.382095577	0.753835502	60.7
0.382096024	0.75383538	60.7
0.382096177	0.753835488	61
0.382096383	0.753835465	61
0.382096682	0.753835334	61
0.382096508	0.753835369	61.4
0.382096235	0.753835124	61.4
0.382096703	0.753834708	62
0.382096889	0.753835005	62.3
0.382096989	0.753834938	63.3
0.3820966	0.753834512	65.9
0.382097038	0.753834115	69.2
0.382097674	0.753833734	72.5
0.382098403	0.753833534	76.4
0.38209867	0.753833822	79.7
0.382098997	0.753833792	80.7
0.382099442	0.753833387	80.7
0.382098854	0.753833814	81
0.382097524	0.753833852	81.4
0.382096563	0.753833656	81.4
0.382095241	0.753833706	81.4
0.382094925	0.75383353	81.4
0.382095255	0.753833518	81.4
0.382095714	0.75383371	81
0.382096155	0.753834223	80.7
0.382096255	0.753834215	80.4
0.382096482	0.753834163	80.4
0.38209682	0.753834138	80.4
0.382097004	0.753834529	80.4
0.382097042	0.753835127	80.4
0.382097297	0.753835729	80.4
0.382097674	0.753836227	80.4
0.382097799	0.753836776	80.7
0.382097984	0.753837138	82
0.382098324	0.753837315	83.3
0.382098638	0.753837791	85.3
0.38209878	0.753838337	87.9
0.382099183	0.753838252	88.6
0.382100109	0.753838235	88.6
0.38210058	0.753839098	88.6
0.382100396	0.753839217	88.9
0.382099232	0.753838172	88.6
0.382099097	0.753837611	88.6
0.382098247	0.753836931	88.6
0.382097742	0.75383677	88.6
0.38209734	0.75383661	88.6
0.382097314	0.753836382	88.6
0.382096943	0.753836498	88.6
0.382096996	0.753836389	88.3
0.382097652	0.753835873	88.3
0.382099315	0.753834625	88.6
0.382102727	0.753832462	88.9
0.382106946	0.753830255	88.9
0.382111982	0.753826889	88.9
0.3821176	0.753823043	89.2
0.382123981	0.753818639	89.2
0.382131121	0.753813578	89.2
0.382138886	0.753808247	89.2
0.382151253	0.75380058	88.9
0.382169393	0.753790057	89.6
0.382186402	0.75378007	88.9
0.382193196	0.753775994	88.3
0.382192335	0.753774468	88.3
0.382192323	0.753772749	87.6
0.38219331	0.753771523	87.6
0.382192705	0.753771742	87.9
0.382192378	0.753772079	87.9
0.382192104	0.753772556	88.3
0.382191845	0.75377277	87.9
0.382191837	0.753773324	88.3
0.382191804	0.753773519	88.6
0.382191814	0.753773626	88.6
0.382191969	0.753773686	88.3
0.382192117	0.753773619	88.3
0.382192044	0.753773181	88.3
0.382192109	0.753772809	88.3
0.382192341	0.75377267	88.6
0.382192813	0.753772564	89.2
0.382193208	0.75377263	89.9
0.382193359	0.753772823	90.6
0.382193873	0.753772983	90.6
0.382194577	0.753773673	90.6
0.382194142	0.753774324	90.9
0.382193879	0.753774685	90.9
0.382193592	0.753775347	91.2
0.382193386	0.753775819	90.9
0.382193291	0.753776542	90.9
0.382193732	0.753777581	90.9
0.382193892	0.753778294	90.6
0.382194299	0.753778645	90.6
0.382194209	0.75377882	90.6
0.382194016	0.753779047	90.6
0.382193913	0.753779189	90.6
