x,y,z
3821393137699,75389438,41
3821391910634,75389448,41
3821390790851,75389457,41
3821390050495,75389465,41
3821389293594,75389470,41
3821387911762,75389477,41
3821386831648,75389485,41
3821385343315,75389492,41
3821383956727,75389499,41
3821382345089,75389507,41
3821381558746,75389512,41
3821380398186,75389520,41
3821379264073,75389528,40
3821379256647,75389549,41
3821379058824,75389560,41
3821378071010,75389571,40
3821377147421,75389583,40
3821375099555,75389606,40
3821374386232,75389619,40
3821373816146,75389627,40
3821373395226,75389633,40
3821373413986,75389647,40
3821373669912,75389658,41
3821373981010,75389666,40
3821374377112,75389673,41
3821374047906,75389685,40
3821372819669,75389702,40
3821372199622,75389712,40
3821371629146,75389722,40
3821371476789,75389727,40
3821370813491,75389726,40
3821370523237,75389733,40
3821370301182,75389739,40
3821370633059,75389753,40
3821370931716,75389778,41
3821371245615,75389794,40
3821371442005,75389808,40
3821371326385,75389824,40
3821371167905,75389838,40
3821371927216,75389862,40
3821371907610,75389869,40
3821371463110,75389875,40
3821371032810,75389879,40
3821370428722,75389893,41
3821370157684,75389904,40
3821369755393,75389913,41
3821369348152,75389923,41
3821369766922,75389939,41
3821370000181,75389949,41
3821370513271,75389958,41
3821371108369,75389967,40
3821371966299,75389992,41
3821372144516,75390005,40
3821372172069,75390015,40
3821372230888,75390025,41
3821372103935,75390036,41
3821371332964,75390048,41
3821371497567,75390063,41
3821371696107,75390076,41
3821371815179,75390086,41
3821372482516,75390101,41
3821372815174,75390112,41
3821372936982,75390122,41
3821372885197,75390135,41
3821372711540,75390158,41
3821371881033,75390169,42
3821371335700,75390180,42
3821371136118,75390187,42
3821369392445,75390182,42
3821368799692,75390191,42
3821368276180,75390199,42
3821368015954,75390203,42
3821367624737,75390205,42
3821365396309,75390206,42
3821364489656,75390209,42
3821363813201,75390213,42
3821363258878,75390215,43
3821362557475,75390229,43
3821362086659,75390233,43
3821361684629,75390237,43
3821361494492,75390243,43
3821361691208,75390254,43
3821361755043,75390262,43
3821361555266,75390270,43
3821361308654,75390277,43
3821361065820,75390287,43
3821360575138,75390290,43
3821359419529,75390296,43
3821358357848,75390302,43
3821357436084,75390307,43
3821355316566,75390315,43
3821354190009,75390331,43
3821353119991,75390347,43
3821352586773,75390360,43
3821352005028,75390379,43
3821351266040,75390388,43
3821350648078,75390396,43
3821349852485,75390400,43
3821348430007,75390402,43
3821347486747,75390421,43
3821346414710,75390432,43
3821345368011,75390452,43
3821344713702,75390459,43
3821344149609,75390464,43
3821342822883,75390465,43
3821341646886,75390464,43
3821339563390,75390462,43
3821339077723,75390464,43
3821338969529,75390467,43
3821338970701,75390472,43
3821338484969,75390486,43
3821337984190,75390499,43
3821337481782,75390516,43
3821337009534,75390532,43
3821335397570,75390562,43
3821334507136,75390577,43
3821332993335,75390592,43
3821331404104,75390605,43
3821329847051,75390615,43
